service_id,date,exception_type
401,20251208,1
6701,20251208,1
501,20251208,1
4401,20251208,1
401,20251209,1
6701,20251209,1
501,20251209,1
4501,20251209,1
7001,20251209,1
401,20251210,1
6701,20251210,1
501,20251210,1
4401,20251210,1
7001,20251210,1
401,20251211,1
6701,20251211,1
501,20251211,1
4401,20251211,1
7001,20251211,1
401,20251212,1
6701,20251212,1
501,20251212,1
4501,20251212,1
401,20251215,1
6701,20251215,1
501,20251215,1
4401,20251215,1
401,20251216,1
6701,20251216,1
501,20251216,1
4501,20251216,1
7001,20251216,1
401,20251217,1
6701,20251217,1
501,20251217,1
4401,20251217,1
7001,20251217,1
401,20251218,1
6701,20251218,1
501,20251218,1
4401,20251218,1
7001,20251218,1
401,20251219,1
6701,20251219,1
501,20251219,1
4501,20251219,1
